rio,estacion,municipio,estado,fecha,caudal_m3s
Amaime,Amaime,El Cerrito,Activa,2016-05-10,9.9
Amaime,Amaime,El Cerrito,Activa,2016-05-11,9.28
Amaime,Amaime,El Cerrito,Activa,2016-05-12,7.87
Amaime,Amaime,El Cerrito,Activa,2016-05-13,14.79
Amaime,Amaime,El Cerrito,Activa,2016-05-14,12.68
Amaime,Amaime,El Cerrito,Activa,2016-05-15,13.66
Amaime,Amaime,El Cerrito,Activa,2016-05-16,5.0
Amaime,Amaime,El Cerrito,Activa,2016-05-17,4.3
Amaime,Amaime,El Cerrito,Activa,2016-05-18,4.83
Amaime,Amaime,El Cerrito,Activa,2016-05-19,4.56
Amaime,Amaime,El Cerrito,Activa,2016-05-20,6.23
Amaime,Amaime,El Cerrito,Activa,2016-05-21,4.74
Amaime,Amaime,El Cerrito,Activa,2016-05-22,3.94
Amaime,Amaime,El Cerrito,Activa,2016-05-23,4.12
Amaime,Amaime,El Cerrito,Activa,2016-05-24,1.87
Amaime,Amaime,El Cerrito,Activa,2016-05-25,1.96
Amaime,Amaime,El Cerrito,Activa,2016-05-26,1.24
Amaime,Amaime,El Cerrito,Activa,2016-05-27,2.03
Amaime,Amaime,El Cerrito,Activa,2016-05-28,1.51
Amaime,Amaime,El Cerrito,Activa,2016-05-29,2.18
Amaime,Amaime,El Cerrito,Activa,2016-05-30,5.81
Amaime,Amaime,El Cerrito,Activa,2016-05-31,0.64
Amaime,Amaime,El Cerrito,Activa,2016-06-01,6.23
Amaime,Amaime,El Cerrito,Activa,2016-06-02,4.3
Amaime,Amaime,El Cerrito,Activa,2016-06-03,9.22
Amaime,Amaime,El Cerrito,Activa,2016-06-04,12.68
Amaime,Amaime,El Cerrito,Activa,2016-06-05,4.8
Amaime,Amaime,El Cerrito,Activa,2016-06-06,4.65
Amaime,Amaime,El Cerrito,Activa,2016-06-07,3.94
Amaime,Amaime,El Cerrito,Activa,2016-06-08,2.9
Amaime,Amaime,El Cerrito,Activa,2016-06-09,3.07
Amaime,Amaime,El Cerrito,Activa,2016-06-10,1.83
Amaime,Amaime,El Cerrito,Activa,2016-06-11,1.24
Amaime,Amaime,El Cerrito,Activa,2016-06-12,1.46
Amaime,Amaime,El Cerrito,Activa,2016-06-13,1.19
Amaime,Amaime,El Cerrito,Activa,2016-06-14,1.35
Amaime,Amaime,El Cerrito,Activa,2016-06-15,0.98
Amaime,Amaime,El Cerrito,Activa,2016-06-16,23.76
Amaime,Amaime,El Cerrito,Activa,2016-06-17,10.24
Amaime,Amaime,El Cerrito,Activa,2016-06-18,3.07
Amaime,Amaime,El Cerrito,Activa,2016-06-19,1.83
