rio,tramo,estacion_aguas_arriba,estacion_aguas_abajo,km_inicio,km_fin,area_tramo_ha,area_referencia_ha,cobertura_pct,cod_cob25,clase,area_ha,pct,fuente_cana,cana_ha_uso_suelo,factor_reescalado
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,32110,Arbustal y matorral denso alto de tierra firme,6.56,0.19,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,32111,Arbustal y matorral denso bajo de tierra firme,9.78,0.29,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,32121,Arbustal y matorral denso bajo inundable (caña brava),67.47,1.98,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,32210,Arbustal y matorral abierto alto de tierra firme,13.48,0.40,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,32211,Arbustal y matorral abierto bajo de tierra firme,10.79,0.32,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,32220,Arbustal y matorral abierto alto inundable,0.53,0.02,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,32221,Arbustal y matorral abierto bajo inundable,1.44,0.04,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,32310,Vegetación secundaria o transición,17.72,0.52,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,33121,Herbazal natural denso inundable arbolado,0.52,0.02,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,33230,Herbazal natural abierto subxerofítico,6.40,0.19,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,35221,Áreas naturales desnudas,2.81,0.08,Uso_del_suelo_ZP,2805.03,1.199957
