"FECHA DE MUESTREO","ESTACIONES","pH","TEMPERATURA (°C)","COLOR (UPC)","TURBIEDAD (UNT)","SOLIDOS TOTALES (mg SST/l)","SOLIDOS SUSPENDIDOS TOTALES (mg SS/l)","SOLIDOS DISUELTOS (mg SD/l)","DEMANDA BIOQUIMICA DE OXIGENO (mg O2/l)","DEMANDA QUIMICA DE OXIGENO (mg O2/l)","OXIGENO DISUELTO (mg O2/l)","DUREZA TOTAL (mg CaCO3/l)","DUREZA CALCICA (mg CaCO3/l)","DUREZA MAGNESICA (mg CaCO3/l)","CALCIO (mg Ca/l)","MAGNESIO (mg Mg/l)","ALCALINIDAD TOTAL (mg CaCO3/l)","BICARBONATOS (mg CaCO3/l)","CONDUCTIVIDAD ELÉCTRICA (µS/cm)","HIERRO TOTAL (mg Fe/l)","HIERRO DISUELTO (mg Fe/l)","MANGANESO TOTAL (mg Mn/l)","MANGANESO DISUELTO (mg Mn/l)","SODIO TOTAL (mg Na/l)","SODIO DISUELTO (mg Na/l)","POTASIO TOTAL (mg K/l)","POTASIO DISUELTO (mg K/l)","COBRE TOTAL (mg Cu/l)","COBRE DISUELTO (mg Cu/l)","ZINC TOTAL (mg Zn/l)","ZINC DISUELTO (mg Zn/l)","CIANUROS (µg CN-/l)","FLUORUROS (mg F/l)","SULFUROS (mg S-2/l)","SILICE (mg Si/l)","NITROGENO TOTAL (mg N/l)","NITROGENO AMONIACAL (mg N-NH3/l)","NITRITOS (mg N-NO2/l)","NITRATOS (mg N-NO3/l)","CLORUROS (mg Cl/l)","FOSFORO TOTAL (mg P/l)","FOSFATOS (mg PO4/l)","SULFATOS (mg SO4/l)","CADMIO TOTAL (mg Cd/l)","CADMIO DISUELTO (mg Cd/l)","CROMO TOTAL (mg Cr/l)","CROMO DISUELTO (mg Cr/l)","NIQUEL TOTAL (mg Ni/l)","NIQUEL DISUELTO (mg Ni/l)","PLOMO TOTAL (mg Pb/l)","PLOMO DISUELTO (mg Pb/l)","MERCURIO (µg Hg/l)","COLIFORMES TOTALES (NMP/100 ml)","COLIFORMES FECALES (NMP/100 ml)","CAUDAL (m3/s)"
"1995 Aug 30 12:00:00 AM","YOTOCO","6.6","24.5","50","15","124","15","109","6.9","14","0.9","58.2","37.4","20.8","15","5","40.8","49.8","150.9","0.83",,"0.17",,"9.39",,"1.01",,"0.02",,"<0,001",,,,,,"4.7","0","0.027","0.118","7","0.25","0.08","22.2","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+05",
"1995 Aug 30 12:00:00 AM","MEDIACANOA","6.5","25","50","35","143","48","95","5.7","15.1","1.6","52","27","25","10.8","6","40.8","49.8","150.9","1.77",,"0.53",,"8.84",,"0.94",,"0.03",,"<0,001",,,,,,"4.41","0","0.03","0.162","7","0.33","0.08","22.97","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+03","2.40E+03","221"
"1995 Sep 16 04:30:00 PM","RIOFRIO","7.2","22","150","200","442","352.5","89.5","7","43.2","2.4","61.6","48.4","13.2","19.4","3.2","45.6","55.6","51","10.73",,"0.31",,"5.69",,"0.76",,"0.021",,"<0,001",,,,,,"2.973","0","0.023","0.224","5.1","0.47","0.098","14.62","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+07","2.40E+06",
"1995 Sep 16 04:15:00 PM","PUENTE GUAYABAL","7","22","100","160","470","365.2","104.8","4.6","34.6","3.6","79.2","50.6","28.6","20.2","6.9","55.2","67.3","127","9.47",,"0.28",,"4.07",,"1.29",,"<0,002",,"<0,001",,,,,,"2.688","0","0.073","0.767","5.1","0.55","0.23","16.36","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+06","2.40E+05","652"
"1995 Sep 16 04:00:00 PM","LA VICTORIA","6.7","21","150","160","431","348.5","82.5","4.3","29.2","3.3","99","39.6","59.4","15.8","14.3","45.6","55.6","113.4","9.21",,"0.83",,"5.19",,"2.09",,"<0,002",,"<0,001",,,,,,"2.29","0","0.015","0.574","3.1","0.42","0.098","18.78","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+05","638"
"1995 Sep 16 04:30:00 PM","ANACARO","6.8","22","200","90","671","478.3","192.7","5.1","36.7","3.7","66","37.4","28.6","15","6.9","45.6","55.6","108.8","11.25",,"0.27",,"5.14",,"1.75",,"0.009",,"0.008",,,,,,"2.973","0","0.03","0.59","4.1","0.78","0.14","6.3","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+04","2.40E+03","641"
"1995 Sep 16 04:15:00 PM","PUENTE LA VIRGINIA","6.6","22","200","200","407","343","64","4","28.1","4.1","81.4","44","37.4","17.6","9","45.6","55.6","108.8","9.4",,"0.23",,"5.06",,"1.54",,"<0,002",,"<0,001",,,,,,"2.36","0","0.028","1.18","4.1","0.54","0.098","16.07","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+05",
"1995 Sep 15 12:00:00 AM","PUENTE HORMIGUERO","6.5","22","100","75","258","175","83","2.7","18.4","6.1","55","22","33","8.8","7.9","19.2","23.4","80","8.43",,"0.42",,"3.58",,"0.31",,"<0,002",,"<0,001",,,,,,"2.688","0","0.003","0.177","3.1","0.23","0.024","17.91","<0,001",,"<0,003",,"<0,005",,"<0,01",,,,"2.40E+06","351"
"1995 Sep 15 12:00:00 AM","ANTES INTERCEPTOR SUR","6.7","22","100","86","263","192","71","2.1","24.8","6.2","37.4","22","15.4","8.8","3.7","24","29.3","80","6.32",,"0.41",,"3.67",,"0.26",,"<0,002",,"<0,001",,,,,,"2.361","0","0.003","0.195","3.1","0.24","0.13","15.3","<0,001",,"<0,003",,"<0,005",,"<0,01",,,,"2.40E+04",
"1995 Sep 15 12:00:00 AM","JUANCHITO","6.8","22","150","100","274","183","91","4.5","18.4","8.2","39.6","24.2","15.4","9.7","3.7","24","29.3","84.9","41.8",,"3.88",,"15.8",,"8.14",,"0.17",,"0.318",,,,,,"2.69","0","0.01","0.07","3.1","0.1","0.06","9.2","<0,001",,"<0,003",,"<0,005",,"<0,01",,,,"2.40E+05","404"
"1995 Aug 30 12:00:00 AM","PASO DEL COMERCIO","6.6","23","75","16","149","49","100","2.8","13","5","54","22.9","31.1","9.2","7.5","28.8","35.1","113.2","1.84",,"0.15",,"5.81",,"0.49",,"0.02",,"<0,001",,,,,,"2.24","0","0.013","0.213","5","0.17","0.06","19.66","<0,001",,"<0,003",,"<0,005",,"0.01",,,,"2.40E+05",
"1995 Aug 30 12:00:00 AM","PUERTO ISAACS","6.6","24","50","12","125","45","80","4.6","17.3","3.7","54","31.2","22.8","12.5","5.5","26.4","32.2","122.6","1.44",,"0.16",,"6.87",,"0.58",,"0.02",,"<0,001",,,,,,"2.24","0","0.024","0.184","5","0.21","0.05","21.02","<0,001",,"<0,003",,"<0,005",,"<0,01",,,,"2.40E+06",
"1995 Sep 15 12:00:00 AM","PASO DE LA TORRE","7.1","22.1","150","180","523","410","113","6.8","40","3.5","55","28.6","26.4","11.4","6.3","36","43.9","103.7","11.75",,"0.27",,"4.77",,"1.12",,"<0,002",,"<0,001",,,,,,"3.201","0","0.012","0.118","4.1","0.64","0.096","12.3","<0,001",,"<0,003",,"<0,005",,"<0,01",,,,"2.40E+06",
"1995 Sep 15 12:00:00 AM","VIJES","7.1","22.5","100","200","492","390","102","7.6","36.2","2.2","50.6","24.2","26.4","9.7","6.3","38.4","46.8","108.4","11.65",,"0.27",,"5.22",,"1.63",,"<0,002",,"<0,001",,,,,,"2.688","0","0.01","0.312","3.1","0.54","0.1","15.3","<0,001",,"<0,003",,"<0,005",,"<0,01",,,,"2.40E+08",
"1995 Sep 15 12:00:00 AM","YOTOCO","7","22.4","100","200","558","478.3","79.7","4.8","40","2.2","57.2","33","24.2","13.2","5.8","40.8","49.8","115.2","10.95",,"0.26",,"5.42",,"1.2",,"<0,002",,"0.014",,,,,,"2.973","0","0.014","0.188","5.1","0.68","0.12","15.98","<0,001",,"<0,003",,"<0,005",,"<0,01",,,,"2.40E+06",
"1995 Sep 15 12:00:00 AM","MEDIACANOA","6.8","22.3","100","200","489","359.9","129.1","7.9","34.6","2","70.4","33","37.4","13.2","9","40.8","49.8","108.4","9.86",,"0.2",,"5.26",,"1.82",,"0.021",,"<0,001",,,,,,"2.688","0","0.011","0.345","4.1","0.52","0.12","13.94","<0,001",,"<0,003",,"<0,005",,"<0,01",,,,"2.40E+08","525"
"1995 Sep 15 12:00:00 AM","PASO DEL COMERCIO","7","22","100","140","398","268","130","2.8","27","5.1","35.2","24.2","11","9.7","2.6","28.8","35.1","84.9","8.96",,"0.19",,"3.55",,"0.9",,"0.02",,"<0,001",,,,,,"3.2","0","0.004","0.14","4.1","0.44","0.084","8.33","<0,001",,"<0,003",,"<0,005",,"<0,01",,,,"2.40E+06",
"1995 Sep 15 12:00:00 AM","PUERTO ISAACS","6.7","22","100","190","593","495","98","6.3","41","4.8","48.4","22","26.4","8.8","6.3","26.4","32.2","84.9","11.5",,"0.28",,"3.83",,"0.52",,"0.023",,"<0,001",,,,,,"2.688","0","0.004","0.28","3.1","0.62","0.059","8.14","<0,001",,"<0,003",,"<0,005",,"<0,01",,,,"2.40E+06",
"1996 Feb 21 12:00:00 AM","ANTES SUAREZ","6.5","20","60","32.8","116","18","98","1.9","11.9","5","22.2","11.3","10.9","4.5","2.6","16.1","19.6","62.9","1.1",,"<0,002",,"2.08",,"0.55",,"<0,002",,"0.01",,,,,,"2.26","0","0.009","0.149","6.97","0.07","0.07","8.43","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+04","2.40E+04",
"1996 Feb 21 12:00:00 AM","ANTES RIO OVEJAS","6.5","20","45","32.3","109","13.7","95.3","2.4","14","5","24.8","17.4","7.4","7","1.8","16.8","20.5","72.4","0.95",,"0.25",,"2.96",,"0.8",,"<0,002",,"<0,001",,,,,,"2.24","0","0.007","0.114","8.31","0.12","0.08","10.07","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+04","2.40E+04",
"1996 Feb 21 12:00:00 AM","ANTES RIO TIMBA","6.6","20","45","37.7","121","23","98","2.9","13","5.8","21.9","12","9.8","4.8","2.4","16.5","20.1","67.4","1.11",,"0.15",,"2.72",,"0.75",,"<0,002",,"<0,001",,,,,,"2.16","0","0.01","0.133","7.2","0.05","0.04","9.78","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+05",
"1996 Feb 21 12:00:00 AM","PASO DE LA BALSA","6.6","20","50","34.3","120","23","97","1.9","11.9","5.7","32","14","18","5.6","4.3","17.2","21","62.3","1.13",,"<0,002",,"1.96",,"0.69",,"<0,002",,"<0,001",,,,,,"2.04","0","6.0E-4","0.128","8.04","0.06","0.06","9.11","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+05","363"
"1996 Feb 21 12:00:00 AM","PASO DE LA BOLSA","6.4","22","105","64.3","161","67.5","93.5","3","30.2","4.7","33.9","10.1","23.8","4","5.7","17.1","20.8","82.2","3.4",,"0.05",,"1.41",,"1.04",,"<0,002",,"0.01",,,,,,"2.67","0","0.0039","0.171","6.72","0.076","0.059","16.94","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+05","390"
"1996 Feb 21 12:00:00 AM","PUENTE HORMIGUERO","6.6","20","87.5","124.3","411","191","220","1.6","30.2","3.2","41.6","30","11.5","12","2.8","20.7","25.2","72","4.96",,"0.08",,"2.32",,"0.92",,"<0,002",,"0.02",,,,,,"2.56","0","0.0059","0.074","9.19","0.143","0.072","11.91","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+05","423"
"1996 Feb 21 12:00:00 AM","ANTES INTERCEPTOR SUR","6.8","18","100","156.2","442","201","241","2.1","29.2","3.2","12.6","4","8.6","1.6","2.1","22.6","27.5","78","8.11",,"0.14",,"2.38",,"0.97",,"<0,002",,"0.04",,,,,,"3.34","0","0.0052","0.104","10.98","0.25","0.096","12.1","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+06","2.40E+06",
"1996 Feb 21 12:00:00 AM","JUANCHITO","6.7","18","87.5","131.9","296","184","112","2","16.2","5.9","40","20","20","8","4.8","21.3","26","76","5.5",,"0.05",,"2.7",,"1.4",,"0.028",,"0.027",,,,,,"1.3","0","0.04","0.16","9.52","0.0977","0.0292","12.88","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+06","2.40E+06","452"
"1996 Feb 21 12:00:00 AM","PASO DEL COMERCIO","6.7","18","62.5","131.9","353","169","184","2.3","24.8","3","38","26","12","10.4","2.9","24.8","30.2","82.1","5.54",,"0.7",,"2.9",,"1.26",,"<0,002",,"<0,001",,,,,,"1.49","0","0.0053","0.161","9.98","0.245","0.11","10.36","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+07","2.40E+07",
"1996 Feb 21 12:00:00 AM","PUERTO ISAACS","6.7","18","75","136.4","296","199","97","2.4","23.8","3","34","22","12","8.8","2.9","22.9","28","78.9","4.85",,"0.07",,"2.67",,"1.23",,"<0,002",,"<0,001",,,,,,"2.05","0","0.0056","0.077","9.73","0.073","0.039","12.1","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+06","2.40E+06",
"1996 Feb 21 12:00:00 AM","PASO DE LA TORRE","6.6","18","100","166.8","405","256","149","4.8","40","2.9","36","26","10","10.4","2.4","26.1","31.9","89.8","7.86",,"0.75",,"3.35",,"1.32",,"<0,002",,"0.02",,,,,,"1.3","0","0.0093","0.154","10.33","0.055","0.036","11.81","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+07","2.40E+07",
"1996 Feb 21 12:00:00 AM","VIJES","6.5","18","150","335","577","451.6","125.4","2.6","38.9","2.4","38","24","14","9.6","3.4","27.3","33.3","91","22.05",,"0.5",,"3.42",,"1.79",,"<0,002",,"0.02",,,,,,"2.24","0","0.0164","0.118","10.65","0.11","0.059","15.78","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+07","2.40E+07",
"1996 Feb 21 12:00:00 AM","YOTOCO","6.6","18","125","305","679","436.7","242.3","4.6","43.2","2","42","30","12","12","2.9","29.1","35.5","100","10.8",,"0.13",,"3.76",,"1.71",,"<0,002",,"0.21",,,,,,"2.05","0","0.0068","0.181","11.88","0.098","0.039","12.1","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+06","2.40E+06",
"1996 Feb 21 12:00:00 AM","MEDIACANOA","6.5","19","75","162.1","482","323.3","158.7","2.6","31.3","2","40","30","10","12","2.4","29.3","35.8","98.3","9.51",,"0.12",,"3.68",,"1.69",,"<0,002",,"0.02",,,,,,"4.36","0","0.0133","0.234","11.33","0.096","0.072","9.3","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+07","2.40E+07","522"
"1996 Feb 21 12:00:00 AM","RIOFRIO","6.6","13","50","106.2","276","148","128","4","21.6","3.6","48","30","18","12","4.3","36.4","44.4","116.7","4.63",,"0.08",,"4.2",,"1.61",,"<0,002",,"0.02",,,,,,"1.68","0","0.0121","0.097","14.36","0.095","0.026","9.2","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+06","2.40E+05",
"1996 Feb 21 12:00:00 AM","PUENTE GUAYABAL","7.2","13","175","147.8","351","205","146","1.2","28.1","2.8","58","32","26","12.8","6.2","39.2","47.9","118.8","7.2",,"0.18",,"3.84",,"1.79",,"<0,002",,"0.02",,,,,,"3.37","0","0.079","0.173","7.37","0.06","0.004","12.3","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+05","568"
"1996 Feb 21 12:00:00 AM","LA VICTORIA","6.4","13","150","303","569","370","199","3.7","45.2","2.8","52","28","24","11.2","5.8","31.2","38.1","119","14",,"0.25",,"4.21",,"2.51",,"<0,002",,"0.12",,,,,,"3.25","0","0.072","0.397","25.51","0.062","0.005","12.1","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+06","2.40E+06","574"
"1996 Feb 21 12:00:00 AM","ANACARO","7.3","13","75","164.2","359","232","127","1.4","24.4","3.2","52","26","26","10.4","6.2","34.5","42.1","113.8","8.45",,"0.2",,"3.63",,"1.79",,"<0,002",,"0.04",,,,,,"2.95","0","0.011","0.329","14.53","0.094","0.045","13.56","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+05","579"
"1996 Feb 21 12:00:00 AM","PUENTE LA VIRGINIA","6.8","13","66.7","146.8","287","162","125","2.4","23.2","3.8","56","22","34","8.8","8.2","37.1","45.3","118.9","6.51",,"0.18",,"3.9",,"2.1",,"<0,002",,"0.05",,,,,,"3.14","0","0.0166","0.371","14.51","0.326","0.089","11.52","<0,001",,"<0.003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+05",
"1998 Dec 19 12:00:00 AM","PASO DEL COMERCIO","7.3","23.1",,"2.5",,"163",,"3.4",,"3.9",,,,,,,,"111",,,,,,,,,,,,,,,,,,,,,"3.06",,,,,,,,,,,,,,,
"1996 May 22 12:00:00 AM","ANTES SUAREZ","7.2","21","62.5","39","149","19.8","129.2","1.4","11","4.3","29.4","18.9","10.5","7.6","2.5","22.6","27.6","83.2","<0.005",,"<0.002",,"4.04",,"1.19",,"<0.002",,"0.11",,,,,,"2.51","0","0.0035","0.1436","2.702","0.09","0.0111","16.18","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+03","2.40E+03",
"1996 May 22 12:00:00 AM","ANTES RIO OVEJAS","6.4","22","50","43.3","107","34","73","2.6","37","4.4","29.4","16.8","12.6","6.7","3","17.5","21.3","75.8","<0.005",,"<0.002",,"4.24",,"0.99",,"<0.002",,"0.094",,,,,,"2.65","0","0.0019","0.083","2.99","0.047","0.041","17.25","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+03","2.40E+02",
"1996 May 22 12:00:00 AM","ANTES RIO TIMBA","7","21","100","171","352","265","87","2.2","20","5.5","23.1","14.7","8.4","5.9","2","20","24.4","63.6","5.97",,"<0.002",,"3.78",,"1.37",,"<0.002",,"0.114",,,,,,"2.57","0","0.0019","0.0722","1.905","0.1102","0.0633","14.45","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+05","2.40E+05",
"1996 May 22 12:00:00 AM","PASO DE LA BALSA","7","22","116.7","188","330","229","101","1.3","20","5.4","18.9","8.4","10.5","3.4","2.5","20.6","25.2","66.7","7.45",,"<0.002",,"3.99",,"1.53",,"0.029",,"0.134",,,,,,"2.87","0","0.0024","0.1066","1.41","0.1057","0.0438","17.25","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+05","2.40E+04","169"
"1996 May 22 12:00:00 AM","PASO DE LA BOLSA","6.7","23","100","70","194","89.5","104.5","5","32","5.1","35.7","16.5","19.2","6.6","4.6","22.2","27","78.4","2.54",,"<0.002",,"2.4",,"0.74",,"<0.002",,"0.108",,,,,,"2.7","0","0.0025","0.101","0.952","0.0517","0.0165","14.06","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+04","2.40E+04","204"
"1996 May 22 12:00:00 AM","PUENTE HORMIGUERO","6.9","22","125","228","503","345","158","2.5","24","5.1","35.7","21","14.7","8.4","3.5","29.1","35.5","85.9","9.05",,"0.08",,"4.82",,"1.58",,"0.02",,"0.124",,,,,,"3.17","0","0.004","0.0641","1.639","0.1332","0.0206","19.08","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+05","2.40E+03","269"
"1996 May 22 12:00:00 AM","ANTES INTERCEPTOR SUR","6.9","22","100","184","482","381","101","1.9","24","4.8","39.9","21","18.9","8.4","4.5","32.2","39.2","92.6","9.69",,"<0.002",,"4.65",,"1.58",,"<0.002",,"0.13",,,,,,"3.01","0","0.0047","0.0651","1.794","0.0934","0.0208","15.32","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+06","2.40E+06",
"1996 May 22 12:00:00 AM","JUANCHITO","6.9",,"125","176","633","410","223","1.9","36","4.5","39.9","18.9","21","7.6","5","31.3","38.2","97","9.7",,"0.2",,"4.7",,"1.6",,"<0.002",,"0.12",,,,,,"3.25","0","0.0032","0.0503","1.97","0.119","0.015","18.69","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+06","2.40E+06","277"
"1996 May 22 12:00:00 AM","PASO DEL COMERCIO","6.8","22","150","178","500","358","142","4","40","4.2","42","25.2","16.8","10.1","4","32.7","39.9","101.5","8.74",,"<0.002",,"5.02",,"1.6",,"<0.002",,"0.209",,,,,,"3.3","0","0.0033","0.1056","2.149","0.1229","0.0722","17.25","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+06","2.40E+06",
"1996 May 22 12:00:00 AM","PUERTO ISAACS","6.7","22","125","139.5","349","266","83","4.8","32","4","42","23.1","18.9","9.2","4.5","33","40.2","105.9","5.22",,"<0.002",,"5.77",,"1.35",,"<0.002",,"0.102",,,,,,"2.58","0","0.009","0.2728","2.813","0.0994","0.0146","17.25","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+07","2.40E+07",
"1996 May 22 12:00:00 AM","PASO DE LA TORRE","6.9","23","150","176","367.5","235","132.5","3","32","3.3","54.6","29.4","25.2","11.8","6","42","51.3","132.6","8.3",,"<0.002",,"7.79",,"2.12",,"<0.002",,"0.111",,,,,,"2.9","0","0.0121","0.1521","3.123","0.1678","0.0393","21.87","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+08","2.40E+08",
"1996 May 22 12:00:00 AM","VIJES","7","23","150","300","720","580","140","4.5","40","2.8","60.9","33.6","27.3","13.4","6.6","46.5","56.7","141.9","20.97",,"0.36",,"4.69",,"2.1",,"<0.002",,"0.123",,,,,,"3.3","0","0.0153","0.1688","3.14","0.2168","0.0137","26.12","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+07","2.40E+07",
"1996 May 22 12:00:00 AM","YOTOCO","6.8","22","150","314","775","662.5","112.5","5.3","52","2.2","60.9","33.6","27.3","13.4","6.6","46.2","56.4","138.9","21.55",,"0.4",,"4.88",,"2.42",,"<0.002",,"0.14",,,,,,"3.4","0","0.056","0.1835","3.168","0.2718","0.008","25.54","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+07","2.40E+07",
"1996 May 22 12:00:00 AM","MEDIACANOA","6.9","22","225","405","950","747.5","202.5","4.1","48","2","52.5","29.4","23.1","11.8","5.5","44.8","54.6","136","24.87",,"0.48",,"4.86",,"2.52",,"0.031",,"0.157",,,,,,"3.27","0","0.0235","0.3722","3.329","0.2475","0.018","29.3","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+07","2.40E+06","393"
"1996 May 22 12:00:00 AM","RIOFRIO","6.8","25","333.3","705","1341","1185","156","6.8","88","2.1","56.7","29.4","27.3","11.8","6.6","41.9","51.1","135","27.25",,"0.84",,"7.45",,"3.09",,"0.099",,"0.212",,,,,,"4.48","0","0.0196","0.2437","3.434","0.3298","0.0081","16.75","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+06","2.40E+05",
"1996 May 22 12:00:00 AM","PUENTE GUAYABAL","6.8","23","116.7","232","503","173","330","6.5","40","1.5","65.1","27.3","37.8","10.9","9.1","50.7","61.8","154","7.72",,"0.46",,"8.13",,"1.96",,"0.012",,"0.125",,,,,,"3.2","0","0.0214","0.1524","4.12","0.1914","0.1558","21.68","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+07","2.40E+06","533"
"1996 May 22 12:00:00 AM","LA VICTORIA","6.8","22","125","278","1070","685","385","5.5","48","1.6","69.3","35.7","33.6","14.3","8.1","54.4","66.3","160.4","13.08",,"0.13",,"8.86",,"2.34",,"<0.002",,"0.136",,,,,,"3.41","0","0.0182","0.1331","4.009","0.4813","0.2022","20.43","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+06","2.40E+06","525"
"1996 May 22 12:00:00 AM","ANACARO","6.9","22","125","425","879","710","169","4.2","60","2.5","71.4","39.9","31.5","16","7.6","56.8","69.3","169.5","16.88",,"0.26",,"8.8",,"2.63",,"0.026",,"0.131",,,,,,"3.89","0","0.025","0.3379","3.677","0.4992","0.1764","24.86","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+07","2.40E+07","533"
"1996 May 22 12:00:00 AM","PUENTE LA VIRGINIA","7","20","80","352","787","632","155","5.9","44","3.6","79.8","39.9","39.9","16","9.6","57.4","70.1","162.6","14.08",,"0.26",,"8.64",,"2.38",,"<0.002",,"0.131",,,,,,"3.13","0","0.02","0.364","4.696","0.268","0.048","24","<0.001",,"0.06",,"<0.005",,"<0.01",,,"2.40E+07","2.40E+07",
"1996 Sep 04 12:00:00 AM","ANTES SUAREZ","5.9","17","25","8","125","8.2","116.8","1.4","16","3.3","36.7","20.4","16.3","8.2","3.9","15.8","19.3","102.7","1.23",,"0.25",,"5.01",,"1.56",,"<0.002",,"21.52",,,,,,"3.43","0","0.0053","0.105","6.095","0.0503","0.0157","25.134","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+03","2.40E+03",
"1996 Sep 04 12:00:00 AM","ANTES RIO OVEJAS","5.8","18","25","8.8","106","9.8","96.2","4.4","12","3.7","28.6","14.3","14.3","5.7","3.4","17.2","21","94.8","17.04",,"0.3",,"5.31",,"1.43",,"<0.002",,"0.126",,,,,,"3.24","0","0.0037","0.6771","5.844","0.0429","0.0177","18.142","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+04","2.40E+04",
"1996 Sep 04 12:00:00 AM","ANTES RIO TIMBA","6.1","18","35","22.6","127","25.7","101.3","1.3","13","6.7","28.6","16.3","12.2","6.5","2.9","18.4","23.5","88.4","2.49",,"0.27",,"4.15",,"1.38",,"<0.002",,"0.08",,,,,,"3.34","0","0.0049","0.2646","4.489","0.1479","0.0573","15.079","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+04","2.40E+04",
"1996 Sep 04 12:00:00 AM","PASO DE LA BALSA","6.1","18","50","28.8","126","31.5","94.5","1.2","9","7","30.6","18.4","12.2","7.3","2.9","18.4","22.4","85","2.45",,"0.23",,"3.74",,"1.19",,"<0.002",,"0.089",,,,,,"3.05","0","0.0042","0.3078","3.953","0.0883","0.0184","16.695","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+05","2.40E+04","132"
"1996 Sep 04 12:00:00 AM","PASO DE LA BOLSA","6.4","20","60","40.1","157","46","111","1.9","8","6.8","30.6","16.3","14.3","6.5","3.4","20","24.5","82.4","3.99",,"0.17",,"3.91",,"1.37",,"<0.002",,"0.088",,,,,,"3.8","0","0.0048","0.1432","3.933","0.1204","0.0161","14.955","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.30E+01","2.30E+01","155"
"1996 Sep 04 12:00:00 AM","PUENTE HORMIGUERO","6.3","21","175","173","286","125","161","1","24","6.3","34.6","24.5","10.2","9.8","2.4","23.8","29","89.9","20.02",,"0.32",,"4.23",,"1.99",,"<0.002",,"0.145",,,,,,"3.96","0","0.0056","0.1753","3.933","0.2769","0.046","18.857","<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+04","2.40E+04","158"
"1998 Dec 19 12:00:00 AM","PUERTO ISAACS","7.2","22.8",,"2.2",,"111.2",,"3",,"3.9",,,,,,,,"91",,,,,,,,,,,,,,,,,,,,,"3.53",,,,,,,,,,,,,,,
